vulnerability_name,file_path,severity,cwe,owasp,line_number,references
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,../juice-shop/data/static/codefixes/dbSchemaChallenge_1.ts,ERROR,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"A01:2017 - Injection, A03:2021 - Injection, A05:2025 - Injection",5,"https://sequelize.org/docs/v6/core-concepts/raw-queries/#replacements, https://sg.run/gjoe"
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,../juice-shop/data/static/codefixes/dbSchemaChallenge_3.ts,ERROR,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"A01:2017 - Injection, A03:2021 - Injection, A05:2025 - Injection",11,"https://sequelize.org/docs/v6/core-concepts/raw-queries/#replacements, https://sg.run/gjoe"
javascript.audit.detect-replaceall-sanitization.detect-replaceall-sanitization,../juice-shop/data/static/codefixes/restfulXssChallenge_2.ts,INFO,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"A07:2017 - Cross-Site Scripting (XSS), A03:2021 - Injection, A05:2025 - Injection",49,"https://www.npmjs.com/package/dompurify, https://cheatsheetseries.owasp.org/cheatsheets/Cross_Site_Scripting_Prevention_Cheat_Sheet.html, https://sg.run/AzoB"
javascript.audit.detect-replaceall-sanitization.detect-replaceall-sanitization,../juice-shop/data/static/codefixes/restfulXssChallenge_2.ts,INFO,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"A07:2017 - Cross-Site Scripting (XSS), A03:2021 - Injection, A05:2025 - Injection",49,"https://www.npmjs.com/package/dompurify, https://cheatsheetseries.owasp.org/cheatsheets/Cross_Site_Scripting_Prevention_Cheat_Sheet.html, https://sg.run/AzoB"
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,../juice-shop/data/static/codefixes/unionSqlInjectionChallenge_1.ts,ERROR,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"A01:2017 - Injection, A03:2021 - Injection, A05:2025 - Injection",6,"https://sequelize.org/docs/v6/core-concepts/raw-queries/#replacements, https://sg.run/gjoe"
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,../juice-shop/data/static/codefixes/unionSqlInjectionChallenge_3.ts,ERROR,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"A01:2017 - Injection, A03:2021 - Injection, A05:2025 - Injection",10,"https://sequelize.org/docs/v6/core-concepts/raw-queries/#replacements, https://sg.run/gjoe"
generic.secrets.security.detected-generic-secret.detected-generic-secret,../juice-shop/data/static/users.yml,ERROR,CWE-798: Use of Hard-coded Credentials,"A07:2021 - Identification and Authentication Failures, A07:2025 - Authentication Failures",151,"https://owasp.org/Top10/A07_2021-Identification_and_Authentication_Failures, https://sg.run/l2o5"
generic.secrets.security.detected-jwt-token.detected-jwt-token,../juice-shop/frontend/src/app/app.guard.spec.ts,ERROR,CWE-321: Use of Hard-coded Cryptographic Key,"A02:2021 - Cryptographic Failures, A04:2025 - Cryptographic Failures",38,"https://semgrep.dev/blog/2020/hardcoded-secrets-unverified-tokens-and-other-common-jwt-mistakes/, https://sg.run/05N5"
generic.secrets.security.detected-jwt-token.detected-jwt-token,../juice-shop/frontend/src/app/last-login-ip/last-login-ip.component.spec.ts,ERROR,CWE-321: Use of Hard-coded Cryptographic Key,"A02:2021 - Cryptographic Failures, A04:2025 - Cryptographic Failures",61,"https://semgrep.dev/blog/2020/hardcoded-secrets-unverified-tokens-and-other-common-jwt-mistakes/, https://sg.run/05N5"
generic.secrets.security.detected-jwt-token.detected-jwt-token,../juice-shop/frontend/src/app/last-login-ip/last-login-ip.component.spec.ts,ERROR,CWE-321: Use of Hard-coded Cryptographic Key,"A02:2021 - Cryptographic Failures, A04:2025 - Cryptographic Failures",67,"https://semgrep.dev/blog/2020/hardcoded-secrets-unverified-tokens-and-other-common-jwt-mistakes/, https://sg.run/05N5"
javascript.browser.security.insecure-document-method.insecure-document-method,../juice-shop/frontend/src/assets/private/three.js,ERROR,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"A07:2017 - Cross-Site Scripting (XSS), A03:2021 - Injection, A05:2025 - Injection",11375,"https://owasp.org/Top10/A03_2021-Injection, https://sg.run/LwA9"
javascript.lang.security.audit.prototype-pollution.prototype-pollution-loop.prototype-pollution-loop,../juice-shop/frontend/src/hacking-instructor/helpers/helpers.ts,WARNING,CWE-915: Improperly Controlled Modification of Dynamically-Determined Object Attributes,"A08:2021 - Software and Data Integrity Failures, A08:2025 - Software or Data Integrity Failures",49,"https://github.com/HoLyVieR/prototype-pollution-nsec18/blob/master/paper/JavaScript_prototype_pollution_attack_in_NodeJS.pdf, https://sg.run/w1DB"
javascript.browser.security.insecure-document-method.insecure-document-method,../juice-shop/frontend/src/hacking-instructor/index.ts,ERROR,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"A07:2017 - Cross-Site Scripting (XSS), A03:2021 - Injection, A05:2025 - Injection",126,"https://owasp.org/Top10/A03_2021-Injection, https://sg.run/LwA9"
javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,../juice-shop/lib/codingChallenges.ts,WARNING,CWE-1333: Inefficient Regular Expression Complexity,"A05:2021 - Security Misconfiguration, A06:2017 - Security Misconfiguration, A02:2025 - Security Misconfiguration",76,"https://owasp.org/www-community/attacks/Regular_expression_Denial_of_Service_-_ReDoS, https://sg.run/gr65"
javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,../juice-shop/lib/codingChallenges.ts,WARNING,CWE-1333: Inefficient Regular Expression Complexity,"A05:2021 - Security Misconfiguration, A06:2017 - Security Misconfiguration, A02:2025 - Security Misconfiguration",78,"https://owasp.org/www-community/attacks/Regular_expression_Denial_of_Service_-_ReDoS, https://sg.run/gr65"
javascript.lang.security.audit.hardcoded-hmac-key.hardcoded-hmac-key,../juice-shop/lib/insecurity.ts,WARNING,CWE-798: Use of Hard-coded Credentials,"A07:2021 - Identification and Authentication Failures, A07:2025 - Authentication Failures",44,"https://rules.sonarsource.com/javascript/RSPEC-2068, https://cheatsheetseries.owasp.org/cheatsheets/Cryptographic_Storage_Cheat_Sheet.html#key-management, https://sg.run/K9bn"
javascript.jsonwebtoken.security.jwt-hardcode.hardcoded-jwt-secret,../juice-shop/lib/insecurity.ts,WARNING,CWE-798: Use of Hard-coded Credentials,"A07:2021 - Identification and Authentication Failures, A07:2025 - Authentication Failures",56,"https://cheatsheetseries.owasp.org/cheatsheets/Secrets_Management_Cheat_Sheet.html, https://sg.run/4xN9"
javascript.lang.security.audit.hardcoded-hmac-key.hardcoded-hmac-key,../juice-shop/lib/insecurity.ts,WARNING,CWE-798: Use of Hard-coded Credentials,"A07:2021 - Identification and Authentication Failures, A07:2025 - Authentication Failures",152,"https://rules.sonarsource.com/javascript/RSPEC-2068, https://cheatsheetseries.owasp.org/cheatsheets/Cryptographic_Storage_Cheat_Sheet.html#key-management, https://sg.run/K9bn"
javascript.express.security.audit.express-detect-notevil-usage.express-detect-notevil-usage,../juice-shop/routes/b2bOrder.ts,WARNING,CWE-1104: Use of Unmaintained Third Party Components,"A06:2021 - Vulnerable and Outdated Components, A03:2025 - Software Supply Chain Failures",23,"https://github.com/mmckegg/notevil, https://sg.run/W70E"
javascript.browser.security.eval-detected.eval-detected,../juice-shop/routes/captcha.ts,WARNING,CWE-95: Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection'),"A03:2021 - Injection, A05:2025 - Injection",22,"https://owasp.org/Top10/A03_2021-Injection, https://sg.run/7ope"
javascript.express.security.injection.raw-html-format.raw-html-format,../juice-shop/routes/chatbot.ts,WARNING,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"A07:2017 - Cross-Site Scripting (XSS), A03:2021 - Injection, A05:2025 - Injection",205,"https://cheatsheetseries.owasp.org/cheatsheets/Cross_Site_Scripting_Prevention_Cheat_Sheet.html, https://sg.run/5DO3"
javascript.express.security.audit.remote-property-injection.remote-property-injection,../juice-shop/routes/currentUser.ts,ERROR,CWE-522: Insufficiently Protected Credentials,"A02:2017 - Broken Authentication, A04:2021 - Insecure Design, A06:2025 - Insecure Design",31,"https://github.com/nodesecurity/eslint-plugin-security/blob/3c7522ca1be800353513282867a1034c795d9eb4/docs/the-dangers-of-square-bracket-notation.md, https://sg.run/Z4gn"
javascript.express.security.audit.express-res-sendfile.express-res-sendfile,../juice-shop/routes/fileServer.ts,WARNING,CWE-73: External Control of File Name or Path,"A04:2021 - Insecure Design, A06:2025 - Insecure Design",33,"https://cheatsheetseries.owasp.org/cheatsheets/Input_Validation_Cheat_Sheet.html, https://sg.run/7DJk"
javascript.express.security.audit.express-libxml-vm-noent.express-libxml-vm-noent,../juice-shop/routes/fileUpload.ts,WARNING,CWE-611: Improper Restriction of XML External Entity Reference,"A04:2017 - XML External Entities (XXE), A05:2021 - Security Misconfiguration, A02:2025 - Security Misconfiguration",83,"https://cheatsheetseries.owasp.org/cheatsheets/XML_External_Entity_Prevention_Cheat_Sheet.html, https://sg.run/n8Ag"
javascript.express.security.audit.express-res-sendfile.express-res-sendfile,../juice-shop/routes/keyServer.ts,WARNING,CWE-73: External Control of File Name or Path,"A04:2021 - Insecure Design, A06:2025 - Insecure Design",14,"https://cheatsheetseries.owasp.org/cheatsheets/Input_Validation_Cheat_Sheet.html, https://sg.run/7DJk"
javascript.express.security.audit.express-res-sendfile.express-res-sendfile,../juice-shop/routes/logfileServer.ts,WARNING,CWE-73: External Control of File Name or Path,"A04:2021 - Insecure Design, A06:2025 - Insecure Design",14,"https://cheatsheetseries.owasp.org/cheatsheets/Input_Validation_Cheat_Sheet.html, https://sg.run/7DJk"
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,../juice-shop/routes/login.ts,ERROR,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"A01:2017 - Injection, A03:2021 - Injection, A05:2025 - Injection",34,"https://sequelize.org/docs/v6/core-concepts/raw-queries/#replacements, https://sg.run/gjoe"
javascript.express.security.audit.express-res-sendfile.express-res-sendfile,../juice-shop/routes/quarantineServer.ts,WARNING,CWE-73: External Control of File Name or Path,"A04:2021 - Insecure Design, A06:2025 - Insecure Design",14,"https://cheatsheetseries.owasp.org/cheatsheets/Input_Validation_Cheat_Sheet.html, https://sg.run/7DJk"
javascript.express.security.audit.express-open-redirect.express-open-redirect,../juice-shop/routes/redirect.ts,WARNING,CWE-601: URL Redirection to Untrusted Site ('Open Redirect'),"A01:2021 - Broken Access Control, A01:2025 - Broken Access Control",19,"https://cheatsheetseries.owasp.org/cheatsheets/Unvalidated_Redirects_and_Forwards_Cheat_Sheet.html, https://sg.run/EpoP"
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,../juice-shop/routes/search.ts,ERROR,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"A01:2017 - Injection, A03:2021 - Injection, A05:2025 - Injection",23,"https://sequelize.org/docs/v6/core-concepts/raw-queries/#replacements, https://sg.run/gjoe"
javascript.browser.security.eval-detected.eval-detected,../juice-shop/routes/userProfile.ts,WARNING,CWE-95: Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection'),"A03:2021 - Injection, A05:2025 - Injection",62,"https://owasp.org/Top10/A03_2021-Injection, https://sg.run/7ope"
javascript.lang.security.audit.code-string-concat.code-string-concat,../juice-shop/routes/userProfile.ts,ERROR,CWE-95: Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection'),"A03:2021 - Injection, A05:2025 - Injection",62,"https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/eval, https://nodejs.org/api/child_process.html#child_processexeccommand-options-callback, https://www.stackhawk.com/blog/nodejs-command-injection-examples-and-prevention/, https://ckarande.gitbooks.io/owasp-nodegoat-tutorial/content/tutorial/a1_-_server_side_js_injection.html, https://sg.run/96Yk"
javascript.lang.security.audit.unknown-value-with-script-tag.unknown-value-with-script-tag,../juice-shop/routes/videoHandler.ts,WARNING,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"A07:2017 - Cross-Site Scripting (XSS), A03:2021 - Injection, A05:2025 - Injection",58,"https://www.developsec.com/2017/11/09/xss-in-a-script-tag/, https://github.com/juice-shop/juice-shop/blob/1ceb8751e986dacd3214a618c37e7411be6bc11a/routes/videoHandler.ts#L68, https://sg.run/1Zy1"
javascript.lang.security.audit.unknown-value-with-script-tag.unknown-value-with-script-tag,../juice-shop/routes/videoHandler.ts,WARNING,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"A07:2017 - Cross-Site Scripting (XSS), A03:2021 - Injection, A05:2025 - Injection",71,"https://www.developsec.com/2017/11/09/xss-in-a-script-tag/, https://github.com/juice-shop/juice-shop/blob/1ceb8751e986dacd3214a618c37e7411be6bc11a/routes/videoHandler.ts#L68, https://sg.run/1Zy1"
javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,../juice-shop/server.ts,INFO,CWE-134: Use of Externally-Controlled Format String,"A01:2021 - Broken Access Control, A01:2025 - Broken Access Control",155,"https://cwe.mitre.org/data/definitions/134.html, https://sg.run/7Y5R"
javascript.express.security.audit.express-check-directory-listing.express-check-directory-listing,../juice-shop/server.ts,WARNING,CWE-548: Exposure of Information Through Directory Listing,"A06:2017 - Security Misconfiguration, A01:2021 - Broken Access Control, A01:2025 - Broken Access Control",269,"https://www.npmjs.com/package/serve-index, https://www.acunetix.com/blog/articles/directory-listing-information-disclosure/, https://sg.run/DX2G"
javascript.express.security.audit.express-check-directory-listing.express-check-directory-listing,../juice-shop/server.ts,WARNING,CWE-548: Exposure of Information Through Directory Listing,"A06:2017 - Security Misconfiguration, A01:2021 - Broken Access Control, A01:2025 - Broken Access Control",273,"https://www.npmjs.com/package/serve-index, https://www.acunetix.com/blog/articles/directory-listing-information-disclosure/, https://sg.run/DX2G"
javascript.express.security.audit.express-check-directory-listing.express-check-directory-listing,../juice-shop/server.ts,WARNING,CWE-548: Exposure of Information Through Directory Listing,"A06:2017 - Security Misconfiguration, A01:2021 - Broken Access Control, A01:2025 - Broken Access Control",277,"https://www.npmjs.com/package/serve-index, https://www.acunetix.com/blog/articles/directory-listing-information-disclosure/, https://sg.run/DX2G"
javascript.express.security.audit.express-check-directory-listing.express-check-directory-listing,../juice-shop/server.ts,WARNING,CWE-548: Exposure of Information Through Directory Listing,"A06:2017 - Security Misconfiguration, A01:2021 - Broken Access Control, A01:2025 - Broken Access Control",281,"https://www.npmjs.com/package/serve-index, https://www.acunetix.com/blog/articles/directory-listing-information-disclosure/, https://sg.run/DX2G"
javascript.express.security.audit.xss.pug.explicit-unescape.template-explicit-unescape,../juice-shop/views/promotionVideo.pug,WARNING,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"A07:2017 - Cross-Site Scripting (XSS), A03:2021 - Injection, A05:2025 - Injection",78,"https://pugjs.org/language/code.html#unescaped-buffered-code, https://pugjs.org/language/attributes.html#unescaped-attributes, https://sg.run/3xbe"
